array_MB,threads,scenario_id,scenario_name,runtime_sec,exit_code
512,8,0,bind_node0,0.137639,0
512,8,1,preferred_node0,0.130651,0
512,8,2,interleave_01,0.142372,0
1024,8,0,bind_node0,0.270583,0
1024,8,1,preferred_node0,0.255779,0
1024,8,2,interleave_01,0.258269,0
2048,8,0,bind_node0,0.517614,0
2048,8,1,preferred_node0,0.492519,0
2048,8,2,interleave_01,0.517595,0
4096,8,0,bind_node0,0.994436,0
4096,8,1,preferred_node0,1.016197,0
4096,8,2,interleave_01,1.002573,0
8192,8,0,bind_node0,2.208352,0
8192,8,1,preferred_node0,2.190075,0
8192,8,2,interleave_01,1.998975,0
16384,8,0,bind_node0,6.001259,0
16384,8,1,preferred_node0,5.801631,0
16384,8,2,interleave_01,3.885993,0
32768,8,0,bind_node0,12.211935,0
32768,8,1,preferred_node0,12.196766,0
32768,8,2,interleave_01,7.934221,0
