array_MB,threads,scenario_id,scenario_name,runtime_sec,exit_code
512,8,0,bind_node0,0.302611,0
512,8,1,preferred_node0,0.305886,0
512,8,2,interleave_01,0.169001,0
1024,8,0,bind_node0,0.631606,0
1024,8,1,preferred_node0,0.625940,0
1024,8,2,interleave_01,0.327022,0
2048,8,0,bind_node0,1.292121,0
2048,8,1,preferred_node0,1.285602,0
2048,8,2,interleave_01,0.654606,0
4096,8,0,bind_node0,2.582580,0
4096,8,1,preferred_node0,2.594319,0
4096,8,2,interleave_01,1.328242,0
8192,8,0,bind_node0,4.278418,0
8192,8,1,preferred_node0,4.386829,0
8192,8,2,interleave_01,2.651541,0
16384,8,0,bind_node0,5.992932,0
16384,8,1,preferred_node0,5.933086,0
16384,8,2,interleave_01,3.996463,0
32768,8,0,bind_node0,12.525029,0
32768,8,1,preferred_node0,12.333176,0
32768,8,2,interleave_01,7.901335,0
