array_MB,threads,scenario_id,scenario_name,runtime_sec,exit_code
512,8,0,bind_node0,0.130139,0
512,8,1,preferred_node0,0.130246,0
512,8,2,interleave_01,0.150414,0
1024,8,0,bind_node0,0.248104,0
1024,8,1,preferred_node0,0.249181,0
1024,8,2,interleave_01,0.263532,0
2048,8,0,bind_node0,0.479342,0
2048,8,1,preferred_node0,0.479093,0
2048,8,2,interleave_01,0.525045,0
4096,8,0,bind_node0,0.978091,0
4096,8,1,preferred_node0,0.934857,0
4096,8,2,interleave_01,1.025540,0
8192,8,0,bind_node0,1.898740,0
8192,8,1,preferred_node0,1.894681,0
8192,8,2,interleave_01,2.036374,0
16384,8,0,bind_node0,3.708830,0
16384,8,1,preferred_node0,3.704760,0
16384,8,2,interleave_01,4.052013,0
32768,8,0,bind_node0,7.355524,0
32768,8,1,preferred_node0,7.382064,0
32768,8,2,interleave_01,8.015696,0
